Name,Description,Audience,Fecha,Zone,Month,Year,NumberPeople,Duration
"Sensibilización sobre datos abiertos, usos y oportunidades de secretaría de salud de la gobernación de Cundinamarca ",Sensibilización general datos abiertos ,Alcaldías locales de Bogotá ,09/14/2016,Nacional,9,2016,21,2
"Sensibilización sobre datos abiertos, usos y oportunidades de publicación de las alcaldías locales de Bogotá  ",Taller de datos abiertos ,"Ministerio de Agricultura y Desarrollo Rural, UPRA, ICA, CorpoICA, Unidad de Restitución de Tierras, Vecol, Banco Agrario y Finagro ",08/25/2016,Nacional,8,2016,16,2
"Sensibilización sobre datos abiertos, usos y oportunidades de secretaría de salud de la gobernación de Cundinamarca ",Uso y aprovechamiento de la plataforma de datos abiertos ,"Superintendencia de Notariado y Registro, Ministerio de Justicia y del Derecho, Unidad de Servicios Penitenciarios, Agencia Nacional de Defensa Jurídica del Estado, Superintendencia de Notariado y Registro, Instituto Nacional Penitenciario y Carcelario",08/08/2016,Nacional,8,2016,15,2
"Sensibilización sobre datos abiertos, usos y oportunidades de publicación de las alcaldías locales de Bogotá  ",Uso y aprovechamiento de la plataforma de datos abiertos ," Sociedad de Activos Especiales SAS, Ministerio de Hacienda y Crédito Público, Contaduría General de la Nación, Dirección de Impuesto y Aduanas Nacionales - DIAN, Unidad Administrativa Especial Agencia del Inspector General de Tributos Rentas y contribuciones parafiscales-ITRC, Superintendencia de Economía Solidaria, La Previsora S.A. Compañía de Seguros, Unidad de Información y Análisis Financiero - UIAF, Superintendencia Financiera, Central de Inversiones S.A. - CISA, Positiva Compañía de Seguros",07/29/2016,Nacional,7,2016,27,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"Fondo Nacional del Ahorro, Comisión de Regulación de Agua Potable y Saneamiento Básico, MinTIC",07/14/2016,Nacional,7,2016,4,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"Unidad para las Víctimas, ICBF, Departamento Prosperidad Social, Instituto Nacional Para Ciegos, Fondo de Desarrollo de la Educación Superior, ",07/11/2016,Nacional,7,2016,12,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"DNP, Contraloria Cundinamarca, Contraloria, MinTIC, Superservicios, IGAC, Canal 13,Superintendencia de Servicios Públicos, 4-72, Comisión Colombiana del Espacio",06/30/2016,Nacional,6,2016,30,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Uso y aprovechamiento de la plataforma de datos abiertos ,"Defensa Civil Colombiana, Policia Nacional, Caja de Sueldos de Retiro de la Policía Nacional, Comando General, Fondo de Garantías, , Armada Nacional, Ejercito Nacional, Fuerza Aerea",06/17/2016,Nacional,6,2016,24,2
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Taller de datos abiertos ,Entidades territoriales Nariño,04/26/2016,Territorial,4,2016,22,4
Capacitación en el uso y aprovechamiento de la nueva plataforma de datos. ,Taller de datos abiertos ,Entidades territoriales La Guajira,04/26/2016,Territorial,4,2016,15,4
